Department,Sub Department,URL
Computers,Networking Products,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A172504&ref_=nav_em__nav_desktop_sa_intl_networking_products_0_2_7_9
Computers,Power Strips & Surge Protectors,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A17854127011&ref_=nav_em__nav_desktop_sa_intl_power_strips_and_surge_protectors_0_2_7_10
Computers,Printers,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A172635&ref_=nav_em__nav_desktop_sa_intl_printers_0_2_7_11
Computers,Scanners,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A172584&ref_=nav_em__nav_desktop_sa_intl_scanners_0_2_7_12
Computers,Servers,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A11036071&ref_=nav_em__nav_desktop_sa_intl_servers_0_2_7_13
Computers,Tablet Accessories,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A2348628011&ref_=nav_em__nav_desktop_sa_intl_tablet_accessories_0_2_7_14
Computers,Tablet Replacement Parts,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A15524379011&ref_=nav_em__nav_desktop_sa_intl_tablet_replacement_parts_0_2_7_15
Computers,Warranties & Services,https://www.amazon.com/s?bbn=16225007011&rh=i%3Aspecialty-aps%2Cn%3A16225007011%2Cn%3A16285851&ref_=nav_em__nav_desktop_sa_intl_warranties_and_services_0_2_7_16
Smart Home,Amazon Smart Home,https://www.amazon.com/gp/browse.html?node=6563140011&ref_=nav_em_amazon_smart_home_0_2_8_2
Smart Home,Works with Alexa Devices,https://www.amazon.com/gp/browse.html?node=73846268011&ref_=nav_em__ods_ha_vicc_ee_0_2_8_3
Smart Home,Smart Home Lighting,https://www.amazon.com/gp/browse.html?node=21217035011&ref_=nav_em_sh_lighting_0_2_8_4
Smart Home,Smart Locks and Entry,https://www.amazon.com/gp/browse.html?node=21216824011&ref_=nav_em_sh_locks-entry_0_2_8_5
Smart Home,Security Cameras and Systems,https://www.amazon.com/gp/browse.html?node=21217033011&ref_=nav_em_sh_security-cameras-systems_0_2_8_6
Smart Home,Plugs and Outlets,https://www.amazon.com/gp/browse.html?node=21217037011&ref_=nav_em_sh_plugs-outlets_0_2_8_7
Smart Home,New Smart Devices,https://www.amazon.com/gp/browse.html?node=19185106011&ref_=nav_em_sh_new-devices_0_2_8_8
Smart Home,Heating and Cooling,https://www.amazon.com/gp/browse.html?node=21217041011&ref_=nav_em_sh_heating-cooling_0_2_8_9
Smart Home,Detectors and Sensors,https://www.amazon.com/gp/browse.html?node=21217048011&ref_=nav_em_sh_detectors-sensors_0_2_8_10
Smart Home,Home Entertainment,https://www.amazon.com/gp/browse.html?node=21216826011&ref_=nav_em_sh_home-entertainment_0_2_8_11
Smart Home,Pet,https://www.amazon.com/gp/browse.html?node=21221447011&ref_=nav_em_sh_pet_0_2_8_12
Smart Home,Voice Assistants and Hubs,https://www.amazon.com/gp/browse.html?node=21216812011&ref_=nav_em_sh_voice-assistants-hubs_0_2_8_13
Smart Home,Kitchen,https://www.amazon.com/gp/browse.html?node=21217039011&ref_=nav_em_sh_kitchen_0_2_8_14
Smart Home,Vacuums and Mops,https://www.amazon.com/gp/browse.html?node=21217038011&ref_=nav_em_sh_vacuums-mops_0_2_8_15
Smart Home,Lawn and Garden,https://www.amazon.com/gp/browse.html?node=21217056011&ref_=nav_em_sh_lawn-garden_0_2_8_16
Smart Home,WIFI and Networking,https://www.amazon.com/gp/browse.html?node=21217028011&ref_=nav_em_sh_wifi-networking_0_2_8_17
Smart Home,Other Solutions,https://www.amazon.com/gp/browse.html?node=21217060011&ref_=nav_em_sh_other_0_2_8_18
Arts & Crafts,"Painting, Drawing & Art Supplies",https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A2747968011&ref_=nav_em__nav_desktop_sa_intl_painting_drawing_supplies_0_2_9_2
Arts & Crafts,Beading & Jewelry Making,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A12896081&ref_=nav_em__nav_desktop_sa_intl__beading_jewelry_making_0_2_9_3
Arts & Crafts,Crafting,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A378733011&ref_=nav_em__nav_desktop_sa_intl_crafting_0_2_9_4
Arts & Crafts,Fabric,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A12899121&ref_=nav_em__nav_desktop_sa_intl_fabric_0_2_9_5
Arts & Crafts,Fabric Decorating,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A12896841&ref_=nav_em__nav_desktop_sa_intl_fabric_decorating_0_2_9_6
Arts & Crafts,Knitting & Crochet,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A12897221&ref_=nav_em__nav_desktop_sa_intl_knitting_crochet_0_2_9_7
Arts & Crafts,Needlework,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A2237329011&ref_=nav_em__nav_desktop_sa_intl_needlework_0_2_9_8
Arts & Crafts,"Organization, Storage & Transport",https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A2237594011&ref_=nav_em__nav_desktop_sa_intl_organization_storage_transport_0_2_9_9
Arts & Crafts,Printmaking,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A12898451&ref_=nav_em__nav_desktop_sa_intl_printmaking_0_2_9_10
Arts & Crafts,Scrapbooking & Stamping,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A12898821&ref_=nav_em__nav_desktop_sa_intl_scrapbookig_stamping_0_2_9_11
Arts & Crafts,Sewing,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A12899091&ref_=nav_em__nav_desktop_sa_intl_sewing_0_2_9_12
Arts & Crafts,Party Decorations & Supplies,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A723469011&ref_=nav_em__nav_desktop_sa_intl_party_decorations_supplies_0_2_9_13
Arts & Crafts,Gift Wrapping Supplies,https://www.amazon.com/s?bbn=4954955011&rh=i%3Aspecialty-aps%2Cn%3A4954955011%2Cn%3A%212617942011%2Cn%3A723452011&ref_=nav_em__nav_desktop_sa_intl_gift_wrapping_supplies_0_2_9_14
